,t00,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,anom_count,incident_id,num,class,mse
5,4124,2858,2658,2688,3254,3254,3254,2970,4082,4090,4092,2982,3236,4100,2702,4394,1250,2970,2980,2970,2980,2970,2982,2970,2982,4168,4140,3986,2742,4004,2852,4110,2854,2982,2708,4026,4030,4018,4148,4140,4152,4168,4156,4120,2858,2658,2688,3254,3254,2970,2982,2708,2970,2982,4100,2702,1250,4394,2744,4026,4148,2970,2980,4168,4140,4168,3986,2744,4002,2852,4110,2854,2980,2708,4026,4148,2552,4168,4140,4152,4030,4018,4026,4140,4168,4156,2970,2982,2708,2970,4082,4092,4090,4084,4094,4090,3236,2982,4100,2702,1250,4394,4168,4140,3986,2744,4004,2852,4110,2854,2982,2708,4026,4140,4030,4018,4140,4140,2552,4168,4140,4148,4140,4140,4152,4168,4156,2708,2970,4082,4092,4090,4084,4094,4090,3236,2982,4066,2708,2708,3082,4394,3086,1286,1720,1740,1760,1780,4396,1286,0,4432881,5,normal,48.42915039139365
27,2744,4148,4016,4394,1566,1570,4394,1566,1570,4396,4396,3634,4124,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4124,4078,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,0,4432943,0,normal,5.513323378926586
45,4394,1566,1570,4394,1566,1570,2674,1566,1570,4394,4394,2038,4112,4154,4394,4394,4120,2708,4120,4120,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,4112,2038,4154,4394,4394,2708,4066,4068,4066,4068,4066,4068,2492,2708,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,3632,4120,4120,4120,4112,2038,4154,4394,4394,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,2038,4112,4154,4394,4394,4120,2528,2492,4068,4066,4066,2494,4102,4106,2708,4114,4168,4114,4168,2540,4140,2540,4140,4168,2540,4140,4022,3986,3986,3986,2752,3986,4394,1566,1570,2752,3986,4394,1566,1570,2492,2492,2674,2674,4004,4032,2712,4004,4032,4396,4028,4028,4004,4032,2852,4026,4110,2852,4026,4110,4026,4028,2852,4110,2854,2854,2854,2742,4026,2708,0,4432955,0,normal,49.0829626710209
46,4394,2038,4112,4154,4394,4394,4120,2708,4120,4120,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,4112,2038,4154,4394,4394,2708,4066,4068,4066,4068,4066,4068,2492,2708,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,3632,4120,4120,4120,4112,2038,4154,4394,4394,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,2038,4112,4154,4394,4394,4120,2528,2492,4068,4066,4066,2494,4102,4106,2708,4114,4168,4114,4168,2540,4140,2540,4140,4168,2540,4140,4022,3986,3986,3986,2752,3986,4394,1566,1570,2752,3986,4394,1566,1570,2492,2492,2674,2674,4004,4032,2712,4004,4032,4396,4028,4028,4004,4032,2852,4026,4110,2852,4026,4110,4026,4028,2852,4110,2854,2854,2854,2742,4026,2708,4026,4016,4026,4016,4396,4030,4148,4140,4140,4026,0,4432955,1,normal,48.45683069813892
47,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,4112,2038,4154,4394,4394,2708,4066,4068,4066,4068,4066,4068,2492,2708,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,3632,4120,4120,4120,4112,2038,4154,4394,4394,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,2038,4112,4154,4394,4394,4120,2528,2492,4068,4066,4066,2494,4102,4106,2708,4114,4168,4114,4168,2540,4140,2540,4140,4168,2540,4140,4022,3986,3986,3986,2752,3986,4394,1566,1570,2752,3986,4394,1566,1570,2492,2492,2674,2674,4004,4032,2712,4004,4032,4396,4028,4028,4004,4032,2852,4026,4110,2852,4026,4110,4026,4028,2852,4110,2854,2854,2854,2742,4026,2708,4026,4016,4026,4016,4396,4030,4148,4140,4140,4026,4020,4026,4140,4020,4140,4020,4026,4140,4140,4140,0,4432955,2,normal,44.78849677435894
48,4156,4156,4406,4112,2038,4154,4394,4394,2708,4066,4068,4066,4068,4066,4068,2492,2708,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,3632,4120,4120,4120,4112,2038,4154,4394,4394,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,2038,4112,4154,4394,4394,4120,2528,2492,4068,4066,4066,2494,4102,4106,2708,4114,4168,4114,4168,2540,4140,2540,4140,4168,2540,4140,4022,3986,3986,3986,2752,3986,4394,1566,1570,2752,3986,4394,1566,1570,2492,2492,2674,2674,4004,4032,2712,4004,4032,4396,4028,4028,4004,4032,2852,4026,4110,2852,4026,4110,4026,4028,2852,4110,2854,2854,2854,2742,4026,2708,4026,4016,4026,4016,4396,4030,4148,4140,4140,4026,4020,4026,4140,4020,4140,4020,4026,4140,4140,4140,4152,4152,4140,4152,4168,4168,4168,4156,4156,4156,0,4432955,3,normal,43.0693941824206
91,4066,4066,3636,3658,4066,4066,3636,3658,4068,4068,2708,4026,4016,2742,4026,4026,4020,2708,4020,3658,3636,4120,4066,4066,3658,3636,4068,4068,3658,3636,4068,4068,3658,3636,4078,4068,4068,3658,3636,4078,4068,4068,3636,3658,4068,4068,3636,3658,4078,4068,4068,3636,3658,4078,4068,4068,3636,3658,4078,4068,4068,3658,3636,4078,4068,4068,3658,3636,4068,4068,3658,3636,4066,4066,2708,2744,2708,4020,4026,4016,4026,4026,4020,3636,3658,4124,4066,4066,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4078,4066,4066,3636,3658,4078,4066,4066,3636,3658,4078,4066,4066,3636,3658,4078,4068,4068,4124,3636,3658,4066,4066,3636,3658,4078,4066,4066,3636,3658,4078,4068,4068,2708,2744,4016,4124,3634,4068,4068,2708,4026,4016,2742,4026,4026,4020,2708,4020,358,4394,4120,0,4433021,1,normal,12.509716692845975
159,2956,4066,3636,3658,4078,4120,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,0,4433267,50,normal,15.763552281712377
161,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433267,52,normal,15.263103933381444
160,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433267,51,normal,15.26031555905332
